Grupo,Concentracion,Réplica,Vivas,Muertas,Total,Viabilidad
Control,0,1,170000,20000,190000,89.47
Control,0,2,150000,30000,180000,83.33
Control,0,3,195000,25000,220000,88.64
DMSO,1,1,160000,65000,225000,71.11
DMSO,1,2,185000,40000,225000,82.22
DMSO,1,3,205000,55000,260000,78.85
PBM-342,10,1,150000,90000,240000,62.50
PBM-342,10,2,285000,55000,340000,83.82
PBM-342,10,3,190000,60000,250000,76.00
PBM-342,25,1,170000,75000,245000,69.39
PBM-342,25,2,150000,60000,210000,71.43
PBM-342,50,1,200000,90000,290000,68.97
PBM-342,50,2,350000,25000,375000,93.33
PBM-342,50,3,340000,65000,405000,83.95
PBM-342,75,1,135000,30000,165000,81.82
PBM-342,75,2,230000,25000,255000,90.20
PBM-342,75,3,245000,35000,280000,87.50
PBM-342,100,1,90000,40000,130000,69.23
PBM-342,100,2,115000,30000,145000,79.31
PBM-342,100,3,135000,70000,205000,65.85
PBM-342,200,1,95000,30000,125000,76.00
PBM-342,200,2,55000,30000,85000,64.71
PBM-342,200,3,55000,30000,85000,64.71
,,,,,,
